Frame,clavicle_out_l_RelLoc_X,clavicle_out_l_RelLoc_Y,clavicle_out_l_RelLoc_Z,clavicle_out_r_RelLoc_X,clavicle_out_r_RelLoc_Y,clavicle_out_r_RelLoc_Z,thigh_out_l_RelLoc_X,thigh_out_l_RelLoc_Y,thigh_out_l_RelLoc_Z,thigh_out_r_RelLoc_X,thigh_out_r_RelLoc_Y,thigh_out_r_RelLoc_Z,calf_knee_l_RelLoc_X,calf_knee_l_RelLoc_Y,calf_knee_l_RelLoc_Z,calf_knee_r_RelLoc_X,calf_knee_r_RelLoc_Y,calf_knee_r_RelLoc_Z,state,angle_left_deg,angle_right_deg
1,13.15241432,-12.08077335,0.489477813,-12.562953,-12.20593739,-1.166406274,9.128462791,41.42676926,3.727899551,-13.44730282,40.90929794,5.466748714,30.98195267,85.00521088,-12.3912468,-33.7514801,83.75158691,-12.70127296,lay,30.93335519,24.40373546
2,13.18365669,-12.01606655,0.468589365,-12.55826092,-12.23147202,-1.144066453,9.137039185,41.4052887,3.681629896,-13.45145416,40.90871429,5.443543434,30.91621017,85.06083679,-12.23518467,-33.73858643,83.7592926,-12.73743534,stand up,30.84582605,24.3717463
3,13.21450424,-11.95113373,0.44772774,-12.55347729,-12.25697136,-1.121714711,9.145578384,41.38405228,3.635224819,-13.45559311,40.90812683,5.420339108,30.85027695,85.11566925,-12.07830048,-33.7256813,83.7669754,-12.77356434,stand up,30.75856538,24.33969079
4,13.24495506,-11.88597679,0.426894426,-12.54859543,-12.28243065,-1.099349499,9.154083252,41.36305618,3.588683844,-13.45972252,40.90751266,5.397130489,30.78416824,85.16970825,-11.92059708,-33.71277618,83.77461243,-12.80967999,stand up,30.67157047,24.30756762
5,13.34555626,-11.74581909,0.357964635,-12.56022453,-12.3228159,-0.719450414,9.150921822,41.28828812,3.388226032,-13.46768761,40.95953369,5.442756653,30.63763618,85.2232132,-11.77310467,-33.84258652,83.68065643,-13.11688614,stand up,30.58359126,24.52205818
6,13.44462585,-11.60427284,0.285375118,-12.56249809,-12.36069775,-0.338819623,9.14454937,41.21388626,3.188711405,-13.47681236,41.01134109,5.4896698,30.49232101,85.27241516,-11.62068081,-33.97626114,83.58235168,-13.42010021,stand up,30.50602518,24.7310261
7,13.583395,-11.38070488,0.03349781,-12.62360668,-12.29719257,0.409410894,9.133439064,41.12963867,2.596187592,-13.415802,41.09614944,5.317735672,30.31691933,85.34706879,-11.78978252,-34.30558014,83.41818237,-13.82395744,stand up,30.44185283,25.42050242
8,13.66512775,-11.23371983,-0.239916146,-12.63647842,-12.25990391,1.47061944,9.097300529,41.04247284,1.81542933,-13.29508591,41.16067123,5.058245182,30.10639191,85.43032074,-12.17161846,-35.05199432,83.06728363,-14.19989872,stand up,30.32228334,26.73090928
9,13.73502445,-11.09127712,-0.523068011,-12.54684734,-12.25405598,2.629294872,9.044282913,40.94822693,1.03932476,-13.18109226,41.22209167,4.797737122,29.89461136,85.49576569,-12.54362869,-35.8056488,82.70671082,-14.54069805,stand up,30.23240178,27.92730661
10,13.75772953,-11.07727909,-0.733226538,-12.23981571,-12.41061115,3.914615631,8.878483772,40.88156509,0.414372981,-13.1898613,41.25131226,4.586714745,29.64433098,85.53111267,-12.98637962,-36.6647377,82.29292297,-14.87504101,stand up,30.30712847,28.75430913
